input_image,prompt,duration_seconds,seed,output_name,action_id,prompt_mode,revision_status
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. Over this six-second shot, the cat voluntarily rolls onto its back and exposes its belly in one relaxed, playful movement. During the first two seconds, it softens its elbows, tucks its chin slightly and shifts its hips toward its anatomical left, the viewer's right. The left flank makes gentle floor contact, then the shoulders and pelvis continue rolling together until the back rests on the floor. By about 2.80 seconds, the belly faces upward and remains clearly visible to the camera, both front paws are lifted above the chest with softly bent wrists, and the hind legs rest loosely apart. The cat stays within the frame as its body settles on a compact diagonal. Between about 3.00 and 4.50 seconds, one raised forepaw makes a single loose, short sweep through the air above the belly, then curls back toward the chest while the other remains comfortably bent. Its eyes soften into a brief partial squint and open again, and its head nestles against the floor. A small shoulder-and-hip rock accompanies the paw movement. Through 6.00 seconds, it rests comfortably on its back at a slight angle, belly still exposed and chest breathing gently. Any visible tail follows the pelvis and rests naturally on the floor. The movement is self-initiated, with no person or hand entering the image.

overall_soundscape: Quiet room tone with soft paw shifts, one gentle body contact with the floor and faint breathing during the relaxed belly-up pause.

non_diegetic_music: N/A
",6.0,5,00_短毛橘猫鱼骨纹_catloop_roll_left_and_reach,catloop_roll_left_and_reach,I2VA,rewritten_unvalidated
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. Over this six-second shot, the cat voluntarily rolls onto its back and exposes its belly in one relaxed, playful movement. During the first two seconds, it softens its elbows, tucks its chin slightly and shifts its hips toward its anatomical right, the viewer's left. The right flank makes gentle floor contact, then the shoulders and pelvis continue rolling together until the back rests on the floor. By about 2.80 seconds, the belly faces upward and remains clearly visible to the camera, both front paws are lifted above the chest with softly bent wrists, and the hind legs rest loosely apart. The cat stays within the frame as its body settles on a compact diagonal. Between about 3.00 and 4.50 seconds, one raised forepaw makes a single loose, short sweep through the air above the belly, then curls back toward the chest while the other remains comfortably bent. Its eyes soften into a brief partial squint and open again, and its head nestles against the floor. A small shoulder-and-hip rock accompanies the paw movement. Through 6.00 seconds, it rests comfortably on its back at a slight angle, belly still exposed and chest breathing gently. Any visible tail follows the pelvis and rests naturally on the floor. The movement is self-initiated, with no person or hand entering the image.

overall_soundscape: Quiet room tone with soft paw shifts, one gentle body contact with the floor and faint breathing during the relaxed belly-up pause.

non_diegetic_music: N/A
",6.0,6,00_短毛橘猫鱼骨纹_catloop_roll_right_and_reach,catloop_roll_right_and_reach,I2VA,rewritten_unvalidated
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. The scene contains the cat and, after its entrance, one shallow plain dish with a small portion of dry cat food. Over this eight-second shot, the cat eats at an unhurried pace. During the first 1.30 seconds, the dish slides gently into view from the bottom edge along the floor and slows to a complete stop within comfortable reach, just ahead of the front paws. The dish and its food remain a single stable prop on the floor. The cat notices it with a small downward gaze shift, the ears orient slightly toward it, and the head follows. Between about 1.30 and 3.00 seconds, the cat lowers its head comfortably and briefly sniffs just above the food. Between 3.00 and 5.50 seconds, it takes one small mouthful, lifts its muzzle slightly clear of the dish and chews in a few small jaw movements with natural pauses. Its eyes soften, and the neck and shoulders adjust subtly while the paws support a comfortable seated posture. Between 5.50 and 8.00 seconds, it lowers its muzzle for another small mouthful and continues eating calmly. The last moment shows the cat still comfortably attending to the food, with the dish resting in the same place. Only the dish and food enter the scene; no person or hand appears.

overall_soundscape: Quiet studio ambience, a soft dish slide at the start, a faint sniff and small, separated crunching sounds during eating.

non_diegetic_music: N/A
",8.0,9,00_短毛橘猫鱼骨纹_catloop_eat_cat_food,catloop_eat_cat_food,I2VA,rewritten_unvalidated
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. Over this six-second shot, the seated cat curls into a compact sleeping pose. During the first second, the eyelids grow heavy and the head dips softly. From about 1.00 to 3.50 seconds, the head and shoulders turn a little toward the cat's anatomical left, the viewer's right, as both forelegs fold close beneath the chest. A short paw adjustment stays directly under the body. The chest lowers vertically toward those supporting paws while the hindquarters settle beside it and the hind legs tuck inward. The spine rounds into a small C shape, bringing the shoulders and hips into one compact oval footprint. The belly faces the floor and the flank rests gently against it. The front paws stay gathered beneath the face throughout the descent. Any visible tail follows its existing length and curls only as far as that anatomy allows along the outside of the body. Between about 3.50 and 4.50 seconds, the chin rests on the gathered front paws near the viewer's right side of this curled shape, the eyelids close fully and the shoulders relax. From 4.50 to 6.00 seconds, the cat remains curled up with its head down and eyes closed, showing a small, steady rise and fall of the flank. The descent is continuous and comfortably paced, followed by a short sleeping hold.

overall_soundscape: Quiet studio room tone with small paw adjustments and a soft body contact as the cat settles, followed by calm, faint breathing.

non_diegetic_music: N/A
",6.0,10,00_短毛橘猫鱼骨纹_catloop_lie_left_and_sleep,catloop_lie_left_and_sleep,I2VA,rewritten_unvalidated
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. Over this six-second shot, the seated cat curls into a compact sleeping pose. During the first second, the eyelids grow heavy and the head dips softly. From about 1.00 to 3.50 seconds, the head and shoulders turn a little toward the cat's anatomical right, the viewer's left, as both forelegs fold close beneath the chest. A short paw adjustment stays directly under the body. The chest lowers vertically toward those supporting paws while the hindquarters settle beside it and the hind legs tuck inward. The spine rounds into a small C shape, bringing the shoulders and hips into one compact oval footprint. The belly faces the floor and the flank rests gently against it. The front paws stay gathered beneath the face throughout the descent. Any visible tail follows its existing length and curls only as far as that anatomy allows along the outside of the body. Between about 3.50 and 4.50 seconds, the chin rests on the gathered front paws near the viewer's left side of this curled shape, the eyelids close fully and the shoulders relax. From 4.50 to 6.00 seconds, the cat remains curled up with its head down and eyes closed, showing a small, steady rise and fall of the flank. The descent is continuous and comfortably paced, followed by a short sleeping hold.

overall_soundscape: Quiet studio room tone with small paw adjustments and a soft body contact as the cat settles, followed by calm, faint breathing.

non_diegetic_music: N/A
",6.0,11,00_短毛橘猫鱼骨纹_catloop_lie_right_and_sleep,catloop_lie_right_and_sleep,I2VA,rewritten_unvalidated
cat_ids/02_长毛橘猫.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. Over this six-second shot, the cat voluntarily rolls onto its back and exposes its belly in one relaxed, playful movement. During the first two seconds, it softens its elbows, tucks its chin slightly and shifts its hips toward its anatomical left, the viewer's right. The left flank makes gentle floor contact, then the shoulders and pelvis continue rolling together until the back rests on the floor. By about 2.80 seconds, the belly faces upward and remains clearly visible to the camera, both front paws are lifted above the chest with softly bent wrists, and the hind legs rest loosely apart. The cat stays within the frame as its body settles on a compact diagonal. Between about 3.00 and 4.50 seconds, one raised forepaw makes a single loose, short sweep through the air above the belly, then curls back toward the chest while the other remains comfortably bent. Its eyes soften into a brief partial squint and open again, and its head nestles against the floor. A small shoulder-and-hip rock accompanies the paw movement. Through 6.00 seconds, it rests comfortably on its back at a slight angle, belly still exposed and chest breathing gently. Any visible tail follows the pelvis and rests naturally on the floor. The movement is self-initiated, with no person or hand entering the image.

overall_soundscape: Quiet room tone with soft paw shifts, one gentle body contact with the floor and faint breathing during the relaxed belly-up pause.

non_diegetic_music: N/A
",6.0,17,02_长毛橘猫_catloop_roll_left_and_reach,catloop_roll_left_and_reach,I2VA,rewritten_unvalidated
cat_ids/02_长毛橘猫.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. Over this six-second shot, the cat voluntarily rolls onto its back and exposes its belly in one relaxed, playful movement. During the first two seconds, it softens its elbows, tucks its chin slightly and shifts its hips toward its anatomical right, the viewer's left. The right flank makes gentle floor contact, then the shoulders and pelvis continue rolling together until the back rests on the floor. By about 2.80 seconds, the belly faces upward and remains clearly visible to the camera, both front paws are lifted above the chest with softly bent wrists, and the hind legs rest loosely apart. The cat stays within the frame as its body settles on a compact diagonal. Between about 3.00 and 4.50 seconds, one raised forepaw makes a single loose, short sweep through the air above the belly, then curls back toward the chest while the other remains comfortably bent. Its eyes soften into a brief partial squint and open again, and its head nestles against the floor. A small shoulder-and-hip rock accompanies the paw movement. Through 6.00 seconds, it rests comfortably on its back at a slight angle, belly still exposed and chest breathing gently. Any visible tail follows the pelvis and rests naturally on the floor. The movement is self-initiated, with no person or hand entering the image.

overall_soundscape: Quiet room tone with soft paw shifts, one gentle body contact with the floor and faint breathing during the relaxed belly-up pause.

non_diegetic_music: N/A
",6.0,18,02_长毛橘猫_catloop_roll_right_and_reach,catloop_roll_right_and_reach,I2VA,rewritten_unvalidated
cat_ids/02_长毛橘猫.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. The scene contains the cat and, after its entrance, one shallow plain dish with a small portion of dry cat food. Over this eight-second shot, the cat eats at an unhurried pace. During the first 1.30 seconds, the dish slides gently into view from the bottom edge along the floor and slows to a complete stop within comfortable reach, just ahead of the front paws. The dish and its food remain a single stable prop on the floor. The cat notices it with a small downward gaze shift, the ears orient slightly toward it, and the head follows. Between about 1.30 and 3.00 seconds, the cat lowers its head comfortably and briefly sniffs just above the food. Between 3.00 and 5.50 seconds, it takes one small mouthful, lifts its muzzle slightly clear of the dish and chews in a few small jaw movements with natural pauses. Its eyes soften, and the neck and shoulders adjust subtly while the paws support a comfortable seated posture. Between 5.50 and 8.00 seconds, it lowers its muzzle for another small mouthful and continues eating calmly. The last moment shows the cat still comfortably attending to the food, with the dish resting in the same place. Only the dish and food enter the scene; no person or hand appears.

overall_soundscape: Quiet studio ambience, a soft dish slide at the start, a faint sniff and small, separated crunching sounds during eating.

non_diegetic_music: N/A
",8.0,21,02_长毛橘猫_catloop_eat_cat_food,catloop_eat_cat_food,I2VA,rewritten_unvalidated
cat_ids/02_长毛橘猫.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. Over this six-second shot, the seated cat curls into a compact sleeping pose. During the first second, the eyelids grow heavy and the head dips softly. From about 1.00 to 3.50 seconds, the head and shoulders turn a little toward the cat's anatomical left, the viewer's right, as both forelegs fold close beneath the chest. A short paw adjustment stays directly under the body. The chest lowers vertically toward those supporting paws while the hindquarters settle beside it and the hind legs tuck inward. The spine rounds into a small C shape, bringing the shoulders and hips into one compact oval footprint. The belly faces the floor and the flank rests gently against it. The front paws stay gathered beneath the face throughout the descent. Any visible tail follows its existing length and curls only as far as that anatomy allows along the outside of the body. Between about 3.50 and 4.50 seconds, the chin rests on the gathered front paws near the viewer's right side of this curled shape, the eyelids close fully and the shoulders relax. From 4.50 to 6.00 seconds, the cat remains curled up with its head down and eyes closed, showing a small, steady rise and fall of the flank. The descent is continuous and comfortably paced, followed by a short sleeping hold.

overall_soundscape: Quiet studio room tone with small paw adjustments and a soft body contact as the cat settles, followed by calm, faint breathing.

non_diegetic_music: N/A
",6.0,22,02_长毛橘猫_catloop_lie_left_and_sleep,catloop_lie_left_and_sleep,I2VA,rewritten_unvalidated
cat_ids/02_长毛橘猫.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. Over this six-second shot, the seated cat curls into a compact sleeping pose. During the first second, the eyelids grow heavy and the head dips softly. From about 1.00 to 3.50 seconds, the head and shoulders turn a little toward the cat's anatomical right, the viewer's left, as both forelegs fold close beneath the chest. A short paw adjustment stays directly under the body. The chest lowers vertically toward those supporting paws while the hindquarters settle beside it and the hind legs tuck inward. The spine rounds into a small C shape, bringing the shoulders and hips into one compact oval footprint. The belly faces the floor and the flank rests gently against it. The front paws stay gathered beneath the face throughout the descent. Any visible tail follows its existing length and curls only as far as that anatomy allows along the outside of the body. Between about 3.50 and 4.50 seconds, the chin rests on the gathered front paws near the viewer's left side of this curled shape, the eyelids close fully and the shoulders relax. From 4.50 to 6.00 seconds, the cat remains curled up with its head down and eyes closed, showing a small, steady rise and fall of the flank. The descent is continuous and comfortably paced, followed by a short sleeping hold.

overall_soundscape: Quiet studio room tone with small paw adjustments and a soft body contact as the cat settles, followed by calm, faint breathing.

non_diegetic_music: N/A
",6.0,23,02_长毛橘猫_catloop_lie_right_and_sleep,catloop_lie_right_and_sleep,I2VA,rewritten_unvalidated
