input_image,prompt,duration_seconds,seed,output_name,action_id,prompt_mode,revision_status
cat_ids/00_短毛橘猫鱼骨纹.png,"How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. The main action is one clearly visible, relaxed slow blink. The cat watches the camera with a soft, attentive expression while its chest and shoulders move gently with breathing. During the first second, the chin tips slightly down and the gaze makes a tiny adjustment. Between 1.00 and 1.80 seconds, both eyelids close all the way, remain fully closed for a brief readable beat, then reopen smoothly; both eyes are visibly open again at the end of this blink. As the eyes reopen, the head makes a small, relaxed correction and the muzzle softens. The paws continue to support the seated body while the shoulders settle with the exhale. During the final second, its small head and gaze adjustments ease naturally into the seated pose and expression in Picture 2, reaching that reference at the final instant. Gentle breathing continues during the approach. 

overall_soundscape: Quiet studio room tone with faint breathing from the cat.

non_diegetic_music: N/A
",4.46,0,00_短毛橘猫鱼骨纹_catloop_idle,catloop_idle,FL2VA,rewritten_unvalidated
cat_ids/00_短毛橘猫鱼骨纹.png,"How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. The main action is one brief, gentle outward tug of the cat's anatomical left ear, on the viewer's right. From about 0.70 to 1.30 seconds, the tip is drawn a short distance diagonally outward and slightly upward, away from the crown of the head toward the viewer's right. The tip leads the motion, the upper ear bends softly behind it, and the ear base stays attached. The ear retains its characteristic shape and normal length; the visible movement is a small outward deflection with the top of the head left clear. At the peak, the head follows by a tiny amount and the eyelids briefly narrow in a mild, relaxed reaction. The tug releases promptly. The ear returns quickly toward its resting angle, makes one much smaller settling movement, and is relaxed again by about 2.30 seconds. The head follows back a little later, the eyes reopen comfortably, and breathing gently moves the chest. The opposite ear makes only a small accompanying orientation adjustment. The cat remains seated and balanced. The interaction is shown entirely through the ear and the cat's reaction; no hand, person, string or tool appears. During the final second, its small head and gaze adjustments ease naturally into the seated pose and expression in Picture 2, reaching that reference at the final instant. Gentle breathing continues during the approach. 

overall_soundscape: Quiet studio room tone and faint cat breathing, with a soft incidental body movement as the head settles.

non_diegetic_music: N/A
",4.46,1,00_短毛橘猫鱼骨纹_catloop_pull_left_ear,catloop_pull_left_ear,FL2VA,rewritten_unvalidated
cat_ids/00_短毛橘猫鱼骨纹.png,"How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. The main action is one brief, gentle outward tug of the cat's anatomical right ear, on the viewer's left. From about 0.70 to 1.30 seconds, the tip is drawn a short distance diagonally outward and slightly upward, away from the crown of the head toward the viewer's left. The tip leads the motion, the upper ear bends softly behind it, and the ear base stays attached. The ear retains its characteristic shape and normal length; the visible movement is a small outward deflection with the top of the head left clear. At the peak, the head follows by a tiny amount and the eyelids briefly narrow in a mild, relaxed reaction. The tug releases promptly. The ear returns quickly toward its resting angle, makes one much smaller settling movement, and is relaxed again by about 2.30 seconds. The head follows back a little later, the eyes reopen comfortably, and breathing gently moves the chest. The opposite ear makes only a small accompanying orientation adjustment. The cat remains seated and balanced. The interaction is shown entirely through the ear and the cat's reaction; no hand, person, string or tool appears. During the final second, its small head and gaze adjustments ease naturally into the seated pose and expression in Picture 2, reaching that reference at the final instant. Gentle breathing continues during the approach. 

overall_soundscape: Quiet studio room tone and faint cat breathing, with a soft incidental body movement as the head settles.

non_diegetic_music: N/A
",4.46,2,00_短毛橘猫鱼骨纹_catloop_pull_right_ear,catloop_pull_right_ear,FL2VA,rewritten_unvalidated
cat_ids/00_短毛橘猫鱼骨纹.png,"How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins. The clean frame contains only the cat and one transient wool ball defined in the motion path; only this prop unit and its associated contact shadow may cross a frame boundary along the specified entry or exit path. During 0.00–0.40 seconds, the cat holds the endpoint pose. At 0.40 seconds, one small, tightly wound matte wool ball enters from the viewer's left and rolls left-to-right along a straight path on the foreground floor, with visible rotation and one attached contact shadow. From 0.65 to 1.25 seconds, the cat's eyes track first and the head follows with one small turn; the body transfers a little weight onto the anatomical left front paw on the viewer's right while the anatomical right front paw on the viewer's left lifts. From 1.25 to 1.85 seconds, that lifted paw reaches in one compact arc and its pads meet the top of the ball, causing the ball to decelerate to a brief stop while retaining its size, round boundary, and visibility. From 1.95 to 2.30 seconds, the same paw gives one short controlled nudge toward the viewer's right while beginning to retract. The ball resumes rolling at lower speed and, together with its contact shadow, exits completely beyond the viewer's right edge by 3.20 seconds. The active paw lands at its exact reference point by 3.35 seconds, and the head and gaze recenter by 3.50 seconds. The ball remains one distinct object through normal rolling contact with the floor and the brief paw contact, preserving a clear boundary from the paw and reference tail state after each contact. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. The wool ball and its associated contact shadow are already fully outside the frame. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: A soft wool ball rolls across the floor from left to right, slows under one muted paw contact, then resumes with a quieter roll before leaving the frame. One light paw-pad landing follows over steady studio room tone.

non_diegetic_music: N/A
",4.46,3,00_短毛橘猫鱼骨纹_catloop_catch_yarn_left_to_right,catloop_catch_yarn_left_to_right,FL2VA,unchanged_v2_regression
cat_ids/00_短毛橘猫鱼骨纹.png,"How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins. The clean frame contains only the cat and one transient wool ball defined in the motion path; only this prop unit and its associated contact shadow may cross a frame boundary along the specified entry or exit path. During 0.00–0.40 seconds, the cat holds the endpoint pose. At 0.40 seconds, one small, tightly wound matte wool ball enters from the viewer's right and rolls right-to-left along a straight path on the foreground floor, with visible rotation and one attached contact shadow. From 0.65 to 1.25 seconds, the cat's eyes track first and the head follows with one small turn; the body transfers a little weight onto the anatomical right front paw on the viewer's left while the anatomical left front paw on the viewer's right lifts. From 1.25 to 1.85 seconds, that lifted paw reaches in one compact arc and its pads meet the top of the ball, causing the ball to decelerate to a brief stop while retaining its size, round boundary, and visibility. From 1.95 to 2.30 seconds, the same paw gives one short controlled nudge toward the viewer's left while beginning to retract. The ball resumes rolling at lower speed and, together with its contact shadow, exits completely beyond the viewer's left edge by 3.20 seconds. The active paw lands at its exact reference point by 3.35 seconds, and the head and gaze recenter by 3.50 seconds. The ball remains one distinct object through normal rolling contact with the floor and the brief paw contact, preserving a clear boundary from the paw and reference tail state after each contact. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. The wool ball and its associated contact shadow are already fully outside the frame. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: A soft wool ball rolls across the floor from right to left, slows under one muted paw contact, then resumes with a quieter roll before leaving the frame. One light paw-pad landing follows over steady studio room tone.

non_diegetic_music: N/A
",4.46,4,00_短毛橘猫鱼骨纹_catloop_catch_yarn_right_to_left,catloop_catch_yarn_right_to_left,FL2VA,unchanged_v2_regression
cat_ids/00_短毛橘猫鱼骨纹.png,"How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins, and the clean frame contains only the cat. During 0.00–0.40 seconds, the cat holds the endpoint pose. From 0.55 to 1.20 seconds, the cat transfers weight onto its anatomical right front paw on the viewer's left and the balanced hindquarters, then lifts its anatomical left front paw on the viewer's right by flexing the wrist and elbow. The lifted paw follows one shallow arc toward the mouth while the head lowers and turns only enough to meet it; the paw remains distinct from the muzzle and all toes remain coherent. At 1.40 seconds, the tongue extends, makes the first visible contact with the raised paw, and retracts. At 1.80 seconds, the tongue repeats one second visible contact and retracts fully as the mouth closes. From 2.00 seconds, the head rises and the paw retraces the same arc. The paw pads meet their exact original floor point by 3.30 seconds, weight recenters across both front paws, and the gaze faces forward by 3.50 seconds. The hind paws retain their reference placement throughout, and the reference tail state remains unchanged. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: Two small wet licking sounds occur separately in sync with the two tongue contacts. A faint body-surface movement and one soft paw-pad landing sit over quiet studio room tone.

non_diegetic_music: N/A
",4.46,7,00_短毛橘猫鱼骨纹_catloop_lick_left_paw,catloop_lick_left_paw,FL2VA,unchanged_v2_regression
cat_ids/00_短毛橘猫鱼骨纹.png,"How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins, and the clean frame contains only the cat. During 0.00–0.40 seconds, the cat holds the endpoint pose. From 0.55 to 1.20 seconds, the cat transfers weight onto its anatomical left front paw on the viewer's right and the balanced hindquarters, then lifts its anatomical right front paw on the viewer's left by flexing the wrist and elbow. The lifted paw follows one shallow arc toward the mouth while the head lowers and turns only enough to meet it; the paw remains distinct from the muzzle and all toes remain coherent. At 1.40 seconds, the tongue extends, makes the first visible contact with the raised paw, and retracts. At 1.80 seconds, the tongue repeats one second visible contact and retracts fully as the mouth closes. From 2.00 seconds, the head rises and the paw retraces the same arc. The paw pads meet their exact original floor point by 3.30 seconds, weight recenters across both front paws, and the gaze faces forward by 3.50 seconds. The hind paws retain their reference placement throughout, and the reference tail state remains unchanged. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: Two small wet licking sounds occur separately in sync with the two tongue contacts. A faint body-surface movement and one soft paw-pad landing sit over quiet studio room tone.

non_diegetic_music: N/A
",4.46,8,00_短毛橘猫鱼骨纹_catloop_lick_right_paw,catloop_lick_right_paw,FL2VA,unchanged_v2_regression
cat_ids/02_长毛橘猫.png,"How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. The main action is one clearly visible, relaxed slow blink. The cat watches the camera with a soft, attentive expression while its chest and shoulders move gently with breathing. During the first second, the chin tips slightly down and the gaze makes a tiny adjustment. Between 1.00 and 1.80 seconds, both eyelids close all the way, remain fully closed for a brief readable beat, then reopen smoothly; both eyes are visibly open again at the end of this blink. As the eyes reopen, the head makes a small, relaxed correction and the muzzle softens. The paws continue to support the seated body while the shoulders settle with the exhale. During the final second, its small head and gaze adjustments ease naturally into the seated pose and expression in Picture 2, reaching that reference at the final instant. Gentle breathing continues during the approach. 

overall_soundscape: Quiet studio room tone with faint breathing from the cat.

non_diegetic_music: N/A
",4.46,12,02_长毛橘猫_catloop_idle,catloop_idle,FL2VA,rewritten_unvalidated
cat_ids/02_长毛橘猫.png,"How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. The main action is one brief, gentle outward tug of the cat's anatomical left ear, on the viewer's right. From about 0.70 to 1.30 seconds, the tip is drawn a short distance diagonally outward and slightly upward, away from the crown of the head toward the viewer's right. The tip leads the motion, the upper ear bends softly behind it, and the ear base stays attached. The ear retains its characteristic shape and normal length; the visible movement is a small outward deflection with the top of the head left clear. At the peak, the head follows by a tiny amount and the eyelids briefly narrow in a mild, relaxed reaction. The tug releases promptly. The ear returns quickly toward its resting angle, makes one much smaller settling movement, and is relaxed again by about 2.30 seconds. The head follows back a little later, the eyes reopen comfortably, and breathing gently moves the chest. The opposite ear makes only a small accompanying orientation adjustment. The cat remains seated and balanced. The interaction is shown entirely through the ear and the cat's reaction; no hand, person, string or tool appears. During the final second, its small head and gaze adjustments ease naturally into the seated pose and expression in Picture 2, reaching that reference at the final instant. Gentle breathing continues during the approach. 

overall_soundscape: Quiet studio room tone and faint cat breathing, with a soft incidental body movement as the head settles.

non_diegetic_music: N/A
",4.46,13,02_长毛橘猫_catloop_pull_left_ear,catloop_pull_left_ear,FL2VA,rewritten_unvalidated
cat_ids/02_长毛橘猫.png,"How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action studio pet footage. A medium full-body portrait begins with the same seated cat, framing, floor, background and lighting shown in the first frame. Preserve the individual cat's facial proportions, eye colors, coat or bare-skin appearance, markings, ear shape and existing tail anatomy as its pose changes. The camera holds a static shot throughout, and contact shadows follow the cat's weight naturally. Only the cat occupies the scene; the surrounding floor stays clear throughout. The main action is one brief, gentle outward tug of the cat's anatomical right ear, on the viewer's left. From about 0.70 to 1.30 seconds, the tip is drawn a short distance diagonally outward and slightly upward, away from the crown of the head toward the viewer's left. The tip leads the motion, the upper ear bends softly behind it, and the ear base stays attached. The ear retains its characteristic shape and normal length; the visible movement is a small outward deflection with the top of the head left clear. At the peak, the head follows by a tiny amount and the eyelids briefly narrow in a mild, relaxed reaction. The tug releases promptly. The ear returns quickly toward its resting angle, makes one much smaller settling movement, and is relaxed again by about 2.30 seconds. The head follows back a little later, the eyes reopen comfortably, and breathing gently moves the chest. The opposite ear makes only a small accompanying orientation adjustment. The cat remains seated and balanced. The interaction is shown entirely through the ear and the cat's reaction; no hand, person, string or tool appears. During the final second, its small head and gaze adjustments ease naturally into the seated pose and expression in Picture 2, reaching that reference at the final instant. Gentle breathing continues during the approach. 

overall_soundscape: Quiet studio room tone and faint cat breathing, with a soft incidental body movement as the head settles.

non_diegetic_music: N/A
",4.46,14,02_长毛橘猫_catloop_pull_right_ear,catloop_pull_right_ear,FL2VA,rewritten_unvalidated
