input_image,prompt
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The main action is one clearly visible, complete slow blink with gentle breathing and a small natural head adjustment. From 0.00 to 0.35 seconds, the chest begins a soft inhale and the chin inclines slightly as the gaze relaxes. From 0.35 to 0.60 seconds, both eyelids lower together until both eyes are fully closed. They stay fully closed from 0.60 to 0.80 seconds, then reopen smoothly and completely by 1.10 seconds. From 1.10 to 2.30 seconds, the cat exhales softly, the shoulders settle and the head makes a small comfortable correction as the eyes look attentively ahead. By 2.70 seconds, it is comfortably seated with open, relaxed eyes and a slight natural head angle. From 2.70 to 3.00 seconds, it remains quietly attentive with gentle breathing. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with grounded shadows following the cat's movement. The cat is alone and the surrounding floor stays clear. 

overall_soundscape: Quiet studio room tone with one soft inhale and exhale accompanying the early head and chest movement. Only faint breathing and room tone remain after 2.70 seconds.

non_diegetic_music: N/A
"
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The main action is a brief outward tug and soft release of the cat's anatomical left ear, on the viewer's right in the opening pose. From 0.15 to 0.60 seconds, the ear tip is drawn a short distance diagonally outward and slightly upward toward the viewer's right, away from the crown. The tip leads, the upper ear follows in a small soft bend and the base stays attached. The ear keeps its normal length and characteristic reference shape. At the peak, the head follows by a tiny amount and the eyelids narrow briefly in a mild, relaxed reaction. At 0.65 seconds, the pull releases. The ear springs most of the way back by 1.10 seconds, then makes one much smaller settling movement, reaching its natural resting angle by 1.50 seconds. From 1.10 to 2.30 seconds, the head gently follows back, the eyes reopen comfortably and the shoulders soften with an exhale. By 2.70 seconds, the cat is seated and calmly attentive; through 3.00 seconds, it holds this relaxed posture with faint breathing. The tug is conveyed entirely by the ear movement and the cat's response; no person, hand or pulling device appears. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with grounded shadows following the cat's movement. The cat is alone and the surrounding floor stays clear. 

overall_soundscape: Quiet studio ambience and faint breathing, with a soft incidental body movement as the head settles. Only breathing and room tone remain after 2.70 seconds.

non_diegetic_music: N/A
"
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The main action is a brief outward tug and soft release of the cat's anatomical right ear, on the viewer's left in the opening pose. From 0.15 to 0.60 seconds, the ear tip is drawn a short distance diagonally outward and slightly upward toward the viewer's left, away from the crown. The tip leads, the upper ear follows in a small soft bend and the base stays attached. The ear keeps its normal length and characteristic reference shape. At the peak, the head follows by a tiny amount and the eyelids narrow briefly in a mild, relaxed reaction. At 0.65 seconds, the pull releases. The ear springs most of the way back by 1.10 seconds, then makes one much smaller settling movement, reaching its natural resting angle by 1.50 seconds. From 1.10 to 2.30 seconds, the head gently follows back, the eyes reopen comfortably and the shoulders soften with an exhale. By 2.70 seconds, the cat is seated and calmly attentive; through 3.00 seconds, it holds this relaxed posture with faint breathing. The tug is conveyed entirely by the ear movement and the cat's response; no person, hand or pulling device appears. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with grounded shadows following the cat's movement. The cat is alone and the surrounding floor stays clear. 

overall_soundscape: Quiet studio ambience and faint breathing, with a soft incidental body movement as the head settles. Only breathing and room tone remain after 2.70 seconds.

non_diegetic_music: N/A
"
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. One small, tightly wound wool ball rolls into view from the viewer's left, moving toward the viewer's right along the foreground floor. From 0.00 to 0.50 seconds, the cat tracks the approaching ball with a small head-and-eye turn, shifts weight onto its anatomical left front paw and lifts its anatomical right front paw, on the viewer's left in the opening pose. From 0.50 to 1.00 seconds, the lifted paw reaches in a short arc, places its pads against the top of the ball and brings it to a visible stop. After a brief pause, from 1.10 to 1.50 seconds, the same paw gives one small nudge toward the viewer's right. The ball rolls a short distance in that direction with visible rotation, slows naturally and comes to rest on the floor by 2.40 seconds, still inside the frame. It keeps its round outline and remains distinct from the paw. The active paw lowers comfortably to the floor by 2.30 seconds while the eyes follow the ball. By 2.70 seconds, the cat is settled with its gaze on the resting ball; this attentive posture continues through 3.00 seconds with gentle breathing. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with grounded shadows following the cat's movement. Only the cat and this single compact wool ball occupy the scene. The ball has no loose trailing strand; its contact shadow stays on the floor. No person or hand enters.

overall_soundscape: A soft rolling sound travels from left toward right, pauses under a muted paw contact and briefly resumes after the nudge. A soft paw-pad landing and the final quiet roll end by 2.70 seconds, leaving room tone and faint breathing.

non_diegetic_music: N/A
"
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. One small, tightly wound wool ball rolls into view from the viewer's right, moving toward the viewer's left along the foreground floor. From 0.00 to 0.50 seconds, the cat tracks the approaching ball with a small head-and-eye turn, shifts weight onto its anatomical right front paw and lifts its anatomical left front paw, on the viewer's right in the opening pose. From 0.50 to 1.00 seconds, the lifted paw reaches in a short arc, places its pads against the top of the ball and brings it to a visible stop. After a brief pause, from 1.10 to 1.50 seconds, the same paw gives one small nudge toward the viewer's left. The ball rolls a short distance in that direction with visible rotation, slows naturally and comes to rest on the floor by 2.40 seconds, still inside the frame. It keeps its round outline and remains distinct from the paw. The active paw lowers comfortably to the floor by 2.30 seconds while the eyes follow the ball. By 2.70 seconds, the cat is settled with its gaze on the resting ball; this attentive posture continues through 3.00 seconds with gentle breathing. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with grounded shadows following the cat's movement. Only the cat and this single compact wool ball occupy the scene. The ball has no loose trailing strand; its contact shadow stays on the floor. No person or hand enters.

overall_soundscape: A soft rolling sound travels from right toward left, pauses under a muted paw contact and briefly resumes after the nudge. A soft paw-pad landing and the final quiet roll end by 2.70 seconds, leaving room tone and faint breathing.

non_diegetic_music: N/A
"
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat rolls toward its anatomical left, the viewer's right from the opening pose, exposes its belly and gives one small wave with a raised forepaw. From 0.00 to 0.65 seconds, it softens the elbows and tips the hips to that side until the flank meets the floor gently. From 0.65 to 1.50 seconds, the shoulders and pelvis continue rotating together onto the back. The body settles on a compact diagonal inside the existing frame, keeping the face, belly and paws visible. At 1.50 seconds, the back is supported by the floor, the belly faces upward and is clearly visible to the camera, both front paws are loosely raised above the chest and the hind legs are comfortably bent. From 1.60 to 2.20 seconds, one forepaw makes a single short, loose sweep through the air above the belly, then curls back toward the chest while the other remains softly lifted. The eyes soften briefly, the head nestles against the floor and the shoulders and hips make a small accompanying rock. By 2.70 seconds, the cat has settled belly-up at a slight angle, with relaxed paws and gentle breathing; this belly-up pose continues through 3.00 seconds. The roll is self-initiated, and no person or hand appears. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with grounded shadows following the cat's movement. The cat is alone and the surrounding floor stays clear. 

overall_soundscape: Soft paw shifts and one gentle body contact accompany the early roll, followed by a light surface movement as the cat rocks and settles. These movements finish by 2.70 seconds; faint breathing continues over quiet studio room tone.

non_diegetic_music: N/A
"
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat rolls toward its anatomical right, the viewer's left from the opening pose, exposes its belly and gives one small wave with a raised forepaw. From 0.00 to 0.65 seconds, it softens the elbows and tips the hips to that side until the flank meets the floor gently. From 0.65 to 1.50 seconds, the shoulders and pelvis continue rotating together onto the back. The body settles on a compact diagonal inside the existing frame, keeping the face, belly and paws visible. At 1.50 seconds, the back is supported by the floor, the belly faces upward and is clearly visible to the camera, both front paws are loosely raised above the chest and the hind legs are comfortably bent. From 1.60 to 2.20 seconds, one forepaw makes a single short, loose sweep through the air above the belly, then curls back toward the chest while the other remains softly lifted. The eyes soften briefly, the head nestles against the floor and the shoulders and hips make a small accompanying rock. By 2.70 seconds, the cat has settled belly-up at a slight angle, with relaxed paws and gentle breathing; this belly-up pose continues through 3.00 seconds. The roll is self-initiated, and no person or hand appears. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with grounded shadows following the cat's movement. The cat is alone and the surrounding floor stays clear. 

overall_soundscape: Soft paw shifts and one gentle body contact accompany the early roll, followed by a light surface movement as the cat rocks and settles. These movements finish by 2.70 seconds; faint breathing continues over quiet studio room tone.

non_diegetic_music: N/A
"
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat calmly grooms its anatomical left front paw, on the viewer's right in the opening pose. From 0.00 to 0.60 seconds, it shifts weight onto its anatomical right front paw and the seated hindquarters, lifts the active paw toward the mouth and lowers the head slightly to meet it. The eyes soften as the paw rises in a small comfortable arc. From 0.70 to 1.00 seconds, the tongue extends, makes one clear lick across the raised paw and retracts fully. After a brief pause, from 1.20 to 1.50 seconds, it makes a second visible lick and retracts again. The paw stays distinct from the muzzle, with a small natural wrist adjustment between the contacts. From 1.60 to 2.40 seconds, the mouth closes, the head rises slightly and the paw lowers comfortably onto the floor. By 2.70 seconds, the shoulders have resettled and the eyes glance gently toward the freshly groomed paw. Through 3.00 seconds, the cat remains seated with this relaxed head angle and soft breathing. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with grounded shadows following the cat's movement. The cat is alone and the surrounding floor stays clear. 

overall_soundscape: Two quiet wet licking sounds accompany the two tongue contacts before 1.50 seconds. A faint body movement and soft paw-pad landing finish by 2.70 seconds, followed by quiet room tone and breathing.

non_diegetic_music: N/A
"
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat calmly grooms its anatomical right front paw, on the viewer's left in the opening pose. From 0.00 to 0.60 seconds, it shifts weight onto its anatomical left front paw and the seated hindquarters, lifts the active paw toward the mouth and lowers the head slightly to meet it. The eyes soften as the paw rises in a small comfortable arc. From 0.70 to 1.00 seconds, the tongue extends, makes one clear lick across the raised paw and retracts fully. After a brief pause, from 1.20 to 1.50 seconds, it makes a second visible lick and retracts again. The paw stays distinct from the muzzle, with a small natural wrist adjustment between the contacts. From 1.60 to 2.40 seconds, the mouth closes, the head rises slightly and the paw lowers comfortably onto the floor. By 2.70 seconds, the shoulders have resettled and the eyes glance gently toward the freshly groomed paw. Through 3.00 seconds, the cat remains seated with this relaxed head angle and soft breathing. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with grounded shadows following the cat's movement. The cat is alone and the surrounding floor stays clear. 

overall_soundscape: Two quiet wet licking sounds accompany the two tongue contacts before 1.50 seconds. A faint body movement and soft paw-pad landing finish by 2.70 seconds, followed by quiet room tone and breathing.

non_diegetic_music: N/A
"
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat eats one small mouthful of dry cat food at a comfortable pace. From 0.00 to 0.45 seconds, one shallow plain dish containing a small portion of food slides gently into view from the bottom edge along the floor and slows to a complete stop just ahead of the front paws, within comfortable reach. As it arrives, the cat looks down and begins lowering its head. From 0.45 to 1.05 seconds, the head lowers smoothly to the dish and the cat briefly sniffs just above the food; the ears make a small attentive adjustment. From 1.05 to 1.35 seconds, it takes one small mouthful and lifts its muzzle slightly clear of the food. From 1.35 to 2.50 seconds, it chews in a few small jaw movements with comfortable pauses, soft eyelids and subtle neck adjustments. By 2.70 seconds, the small mouthful is finished and the cat rests with its mouth closed and its head still comfortably lowered near the dish. This relaxed meal-side posture continues through 3.00 seconds, with the dish and remaining food staying in place. The dish keeps its shape and grounded contact shadow throughout. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with grounded shadows following the cat's movement. Only the cat and this single dish of food occupy the scene. No person or hand enters.

overall_soundscape: A soft dish slide is heard at the start, followed by a faint sniff. A few small dry crunches accompany chewing between 1.35 and 2.50 seconds; after 2.70 seconds, only quiet studio ambience and faint breathing remain.

non_diegetic_music: N/A
"
